Sample_ID	Original_Cluster	Rank
5999935721	Cluster 0	5
8000063370	Cluster 0	5
AYUM0031	Cluster 0	5
AYUM0118	Cluster 0	5
AYUM0455	Cluster 0	5
AYUM0637	Cluster 0	5
AYUM0640	Cluster 0	5
C_AC0103	Cluster 0	5
C_AC0118	Cluster 0	5
C_AC0424	Cluster 0	5
C_AC0450	Cluster 0	5
C_AC0608	Cluster 0	5
C_AC0617	Cluster 0	5
C_AC0640	Cluster 0	5
C_AC0667	Cluster 0	5
C_AC0921	Cluster 0	5
C_AC0946	Cluster 0	5
C_AC0956	Cluster 0	5
C_AC0968	Cluster 0	5
C_AC1533	Cluster 0	5
C_AC1577	Cluster 0	5
C_AC1634	Cluster 0	5
C_AC1690	Cluster 0	5
HVUM0083	Cluster 0	5
HVUM0509	Cluster 0	5
HVUM0589	Cluster 0	5
HVUM0634	Cluster 0	5
HVUM0684	Cluster 0	5
HVUM0707	Cluster 0	5
HVUM0724	Cluster 0	5
HVUM0765	Cluster 0	5
HVUM0787	Cluster 0	5
LCAC0106	Cluster 0	5
LCAC0178	Cluster 0	5
LCAC0250	Cluster 0	5
LCAC0299	Cluster 0	5
LCAC0327	Cluster 0	5
LCAC0390	Cluster 0	5
LCAC0443	Cluster 0	5
LCAC0511	Cluster 0	5
LCAC0550	Cluster 0	5
LCAC0586	Cluster 0	5
LCAC0651	Cluster 0	5
LCAC0700	Cluster 0	5
LCAC0705	Cluster 0	5
LCAC0736	Cluster 0	5
LCAC0786	Cluster 0	5
LCAC0795	Cluster 0	5
LCAC0828	Cluster 0	5
LCAC0866	Cluster 0	5
LCAC0881	Cluster 0	5
LCAC0901	Cluster 0	5
LCAC0912	Cluster 0	5
NAG10005	Cluster 0	5
NAG10030	Cluster 0	5
NAG10033	Cluster 0	5
NAG10049	Cluster 0	5
NAG10094	Cluster 0	5
NAG10104	Cluster 0	5
NAG10136	Cluster 0	5
NAG10188	Cluster 0	5
NAG10219	Cluster 0	5
NAG10238	Cluster 0	5
NAG10244	Cluster 0	5
NAG10258	Cluster 0	5
NAG10276	Cluster 0	5
NAG10363	Cluster 0	5
NAG10418	Cluster 0	5
NAG10464	Cluster 0	5
NAG10529	Cluster 0	5
NAG10536	Cluster 0	5
NAG10569	Cluster 0	5
NAG10571	Cluster 0	5
NAG10588	Cluster 0	5
NAG10598	Cluster 0	5
NAG10656	Cluster 0	5
NAG10670	Cluster 0	5
NAG10696	Cluster 0	5
NAG10699	Cluster 0	5
NAG10722	Cluster 0	5
NAG10728	Cluster 0	5
NAG10734	Cluster 0	5
NAG10747	Cluster 0	5
NAG10790	Cluster 0	5
NAG10810	Cluster 0	5
NAG10811	Cluster 0	5
NAG10833	Cluster 0	5
NAG10846	Cluster 0	5
NAG10877	Cluster 0	5
NAG10903	Cluster 0	5
NAG10908	Cluster 0	5
NAG10928	Cluster 0	5
NAG10977	Cluster 0	5
NAG11125	Cluster 0	5
NAG11148	Cluster 0	5
NAG11153	Cluster 0	5
NAG11204	Cluster 0	5
NAG11248	Cluster 0	5
NAG11277	Cluster 0	5
NAG11296	Cluster 0	5
NAG11310	Cluster 0	5
NAG11443	Cluster 0	5
NAG11475	Cluster 0	5
NAG11528	Cluster 0	5
NAG11538	Cluster 0	5
NAG11544	Cluster 0	5
NAG11551	Cluster 0	5
NAG11661	Cluster 0	5
NAG11707	Cluster 0	5
NAG11733	Cluster 0	5
NAG11734	Cluster 0	5
NAG11787	Cluster 0	5
NAG11935	Cluster 0	5
NAG11944	Cluster 0	5
NAG11980	Cluster 0	5
NAG11985	Cluster 0	5
NAG11988	Cluster 0	5
NAG12030	Cluster 0	5
NAG12051	Cluster 0	5
NAG12092	Cluster 0	5
NAG12093	Cluster 0	5
NAG12159	Cluster 0	5
NAG12160	Cluster 0	5
NAG12161	Cluster 0	5
NAG12163	Cluster 0	5
NAG12198	Cluster 0	5
NAG12244	Cluster 0	5
NAG12307	Cluster 0	5
NAG12313	Cluster 0	5
NAG12331	Cluster 0	5
NAG12383	Cluster 0	5
NAG12420	Cluster 0	5
NAG12567	Cluster 0	5
NAG12573	Cluster 0	5
NAG12575	Cluster 0	5
NAG12583	Cluster 0	5
NAG12626	Cluster 0	5
NAG12652	Cluster 0	5
NAG12661	Cluster 0	5
NAG12687	Cluster 0	5
NAG12720	Cluster 0	5
NAG12749	Cluster 0	5
NAG12758	Cluster 0	5
NAG12767	Cluster 0	5
NAG12869	Cluster 0	5
NAG12890	Cluster 0	5
NAG12919	Cluster 0	5
NAG12960	Cluster 0	5
NAG13083	Cluster 0	5
NAG13232	Cluster 0	5
NAG13245	Cluster 0	5
NAG13260	Cluster 0	5
NAG13275	Cluster 0	5
NAG13381	Cluster 0	5
NAG13391	Cluster 0	5
NAG13458	Cluster 0	5
NAG13622	Cluster 0	5
NAG13638	Cluster 0	5
NAG13651	Cluster 0	5
NAG13656	Cluster 0	5
NAG13657	Cluster 0	5
NAG13736	Cluster 0	5
NAG13769	Cluster 0	5
NAG13786	Cluster 0	5
NAG13828	Cluster 0	5
NAG13829	Cluster 0	5
NAG13911	Cluster 0	5
NAG13927	Cluster 0	5
NAG13937	Cluster 0	5
NAG13978	Cluster 0	5
NAG13995	Cluster 0	5
NAG14048	Cluster 0	5
NAG14070	Cluster 0	5
NAG14091	Cluster 0	5
NAG14103	Cluster 0	5
NAG14261	Cluster 0	5
NAG14299	Cluster 0	5
NAG14324	Cluster 0	5
NAG14332	Cluster 0	5
NAG14355	Cluster 0	5
NAG14381	Cluster 0	5
NAG14396	Cluster 0	5
NAG14410	Cluster 0	5
NAG14418	Cluster 0	5
NAG14453	Cluster 0	5
NAG14461	Cluster 0	5
NAG14595	Cluster 0	5
NAG14644	Cluster 0	5
NAG14669	Cluster 0	5
NAG14742	Cluster 0	5
NAG14769	Cluster 0	5
NAG14802	Cluster 0	5
NAG14890	Cluster 0	5
NAG14899	Cluster 0	5
NAG14913	Cluster 0	5
NAG14935	Cluster 0	5
NAG14985	Cluster 0	5
NAG14986	Cluster 0	5
NAG15001	Cluster 0	5
NAG15006	Cluster 0	5
NAG15016	Cluster 0	5
NAG15050	Cluster 0	5
NAG15077	Cluster 0	5
NAG15145	Cluster 0	5
NAG15166	Cluster 0	5
NAG15210	Cluster 0	5
NAG15229	Cluster 0	5
NAG15233	Cluster 0	5
NAG15265	Cluster 0	5
NAG15313	Cluster 0	5
NAG15325	Cluster 0	5
NAG15360	Cluster 0	5
NAG15425	Cluster 0	5
NAG15446	Cluster 0	5
NAG15467	Cluster 0	5
NAG15504	Cluster 0	5
NAG15584	Cluster 0	5
NAG15611	Cluster 0	5
NAG15646	Cluster 0	5
NAG15650	Cluster 0	5
NAG15688	Cluster 0	5
