Sample_ID	Original_Cluster	Rank
C_AC0994	Cluster 17	3
C_AC1512	Cluster 17	3
C_AC1539	Cluster 17	3
C_AC1548	Cluster 17	3
C_AC1579	Cluster 17	3
C_AC1606	Cluster 17	3
C_AC1623	Cluster 17	3
C_AC1703	Cluster 17	3
C_AC1704	Cluster 17	3
HVUM0002	Cluster 17	3
HVUM0019	Cluster 17	3
HVUM0021	Cluster 17	3
HVUM0023	Cluster 17	3
HVUM0060	Cluster 17	3
HVUM0062	Cluster 17	3
HVUM0155	Cluster 17	3
HVUM0161	Cluster 17	3
HVUM0162	Cluster 17	3
HVUM0396	Cluster 17	3
HVUM0478	Cluster 17	3
HVUM0564	Cluster 17	3
HVUM0685	Cluster 17	3
HVUM0731	Cluster 17	3
LCAC0044	Cluster 17	3
LCAC0081	Cluster 17	3
LCAC0094	Cluster 17	3
LCAC0160	Cluster 17	3
LCAC0189	Cluster 17	3
LCAC0220	Cluster 17	3
LCAC0281	Cluster 17	3
LCAC0295	Cluster 17	3
LCAC0346	Cluster 17	3
LCAC0690	Cluster 17	3
LCAC0802	Cluster 17	3
LCAC0880	Cluster 17	3
NAG10169	Cluster 17	3
NAG10227	Cluster 17	3
NAG10367	Cluster 17	3
NAG10572	Cluster 17	3
NAG11131	Cluster 17	3
NAG11534	Cluster 17	3
NAG11955	Cluster 17	3
NAG12317	Cluster 17	3
NAG12330	Cluster 17	3
NAG12340	Cluster 17	3
NAG12731	Cluster 17	3
NAG13231	Cluster 17	3
NAG13373	Cluster 17	3
NAG13390	Cluster 17	3
NAG13662	Cluster 17	3
NAG14055	Cluster 17	3
NAG14320	Cluster 17	3
NAG14489	Cluster 17	3
NAG15396	Cluster 17	3
NAG15906	Cluster 17	3
NAG16398	Cluster 17	3
NAG16542	Cluster 17	3
NAG17995	Cluster 17	3
NAG19291	Cluster 17	3
NAG19461	Cluster 17	3
NAG19744	Cluster 17	3
NAG19834	Cluster 17	3
PHOK0052	Cluster 17	3
PHOK0146	Cluster 17	3
PHOK0184	Cluster 17	3
PHOK0389	Cluster 17	3
PHOM0003	Cluster 17	3
PHOM0009	Cluster 17	3
PHOM0010	Cluster 17	3
PHOM0027	Cluster 17	3
PHOM0063	Cluster 17	3
PHOM0089	Cluster 17	3
PHOM0115	Cluster 17	3
PHOM0119	Cluster 17	3
PHOM0127	Cluster 17	3
PHOM0132	Cluster 17	3
PHOM0135	Cluster 17	3
PHOM0140	Cluster 17	3
PHOM0156	Cluster 17	3
PHOM0157	Cluster 17	3
PHOM0166	Cluster 17	3
PHOM0176	Cluster 17	3
PHOM0187	Cluster 17	3
PHOM0198	Cluster 17	3
PHOM0202	Cluster 17	3
PHOM0205	Cluster 17	3
PHOM0241	Cluster 17	3
PHOM0259	Cluster 17	3
PHOM0272	Cluster 17	3
PHOM0341	Cluster 17	3
PHOM0361	Cluster 17	3
PHOM0366	Cluster 17	3
PHOM0376	Cluster 17	3
PHOM0401	Cluster 17	3
PHOM0407	Cluster 17	3
PHOM0452	Cluster 17	3
PHOM0467	Cluster 17	3
PHOM0477	Cluster 17	3
